NO,NIK,BUSINESS_UNIT,JOB_LEVEL,LOCATION,DEPARTMENT,JOB_POSITION,PK,BEHAVIOR,ADDITIONAL POINT,PERFORMANCE,COMPETENCY,LEARNING POINT
832.0,201600827,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,BRANCH GORONTALO,BRANCH GORONTALO,SALES ADMINISTRATION SENIOR STAFF,0.94,0.7984375,0.01,0.9287656249999999,1.0114285714285716,0.0
833.0,200900318,PT. BUMI SARANA UTAMA,TECHNICAL LEADERS,TAC ANGGREK,BRANCH GORONTALO,BITUMEN DELIVERY SUPERVISOR,0.9512,0.961111111111111,0.01,0.9626866666666667,1.1111111111111112,0.425
834.0,201400674,PT. BUMI SARANA UTAMA,TECHNICAL LEADERS,TAC ANGGREK,BRANCH GORONTALO,GENERAL AFFAIR SUPERVISOR,0.939,1.0,0.0,0.9481499999999999,1.0600000000000003,0.275
835.0,201100378,PT. BUMI SARANA UTAMA,TECHNICAL LEADERS,TAC ANGGREK,BRANCH GORONTALO,PJS. TAC BULK BITUMEN STORAGE SENIOR SUPERVISOR,0.948,0.9463541666666666,0.01,0.957753125,0.9622222222222222,0.35
836.0,200900317,PT. BUMI SARANA UTAMA,TECHNICAL LEADERS,TAC ANGGREK,BRANCH GORONTALO,TECHNICAL SERVICES SUPERVISOR,0.9249,0.9265625000000002,0.01,0.9351493750000001,1.028888888888889,0.35
837.0,201200644,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC ANGGREK,BRANCH GORONTALO,BALANCE & BOILER OPERATOR,0.915,0.9479166666666669,0.01,0.9299375000000001,1.0,0.35
838.0,200900340,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC ANGGREK,BRANCH GORONTALO,BALANCE & BOILER OPERATOR,0.939,0.953125,0.01,0.9511187499999999,1.0,0.35
839.0,200900341,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC ANGGREK,BRANCH GORONTALO,BALANCE & BOILER OPERATOR,0.931,0.9338541666666668,0.01,0.9414281250000001,1.0057142857142858,0.35
840.0,201400590,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC ANGGREK,BRANCH GORONTALO,CASHIER,0.932,0.9755208333333334,0.0,0.938528125,1.082857142857143,0.05
841.0,201200568,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC ANGGREK,BRANCH GORONTALO,MECHANICAL ELECTRICAL ENGINEER,0.918,0.7953125000000001,0.0,0.899596875,0.9485714285714285,0.0
842.0,200900345,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC ANGGREK,BRANCH GORONTALO,MECHANICAL ELECTRICAL ENGINEER,0.922,0.8463541666666666,0.0,0.9106531250000001,1.002857142857143,0.0
843.0,201300609,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC ANGGREK,BRANCH GORONTALO,MECHANICAL ELECTRICAL ENGINEER,0.922,0.8177083333333334,0.01,0.9163562500000001,0.9800000000000001,0.0
844.0,201100457,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC ANGGREK,BRANCH GORONTALO,MECHANICAL ELECTRICAL ENGINEER,0.911,0.8192708333333334,0.0,0.897240625,0.9571428571428571,0.0
845.0,201100458,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC ANGGREK,BRANCH GORONTALO,MECHANICAL ELECTRICAL ENGINEER,0.914,0.7942708333333334,0.0,0.896040625,0.9800000000000001,0.0
846.0,201390339,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC ANGGREK,BRANCH GORONTALO,TANKER TRUCK DRIVER,0.945,0.9302083333333332,0.0,0.9427812499999999,1.002857142857143,0.0
847.0,202090347,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC ANGGREK,BRANCH GORONTALO,TANKER TRUCK DRIVER,0.94,0.890625,0.0,0.9325937499999999,1.002857142857143,0.0
848.0,201200464,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC ANGGREK,BRANCH GORONTALO,TANKER TRUCK DRIVER,0.945,0.8739583333333333,0.0,0.9343437499999999,1.002857142857143,0.0
849.0,201290342,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC ANGGREK,BRANCH GORONTALO,TANKER TRUCK DRIVER,0.95,0.9432291666666668,0.0,0.948984375,1.0,0.0
850.0,201490343,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC ANGGREK,BRANCH GORONTALO,TANKER TRUCK DRIVER,0.94,0.8765625000000001,0.0,0.9304843749999999,1.0,0.0
851.0,201790344,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC ANGGREK,BRANCH GORONTALO,TANKER TRUCK DRIVER,0.94,0.9828125,0.0,0.946421875,1.0171428571428571,0.0
852.0,201490341,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC ANGGREK,BRANCH GORONTALO,TANKER TRUCK DRIVER,0.945,0.9578125,0.0,0.9469218749999999,0.9942857142857143,0.0
853.0,201390340,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC ANGGREK,BRANCH GORONTALO,TANKER TRUCK DRIVER,0.94,0.8723958333333333,0.0,0.9298593749999999,1.0,0.0
854.0,201890346,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC ANGGREK,BRANCH GORONTALO,TANKER TRUCK DRIVER,0.945,0.9510416666666668,0.0,0.94590625,1.002857142857143,0.0
855.0,201890345,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC ANGGREK,BRANCH GORONTALO,TANKER TRUCK DRIVER,0.94,0.9177083333333336,0.0,0.93665625,1.0085714285714287,0.0
856.0,200100169,PT. BUMI SARANA UTAMA,OPERATIONAL LEADERS,BRANCH JAYAPURA,BRANCH JAYAPURA,BRANCH MANAGER,0.959,0.8895833333333334,0.01,0.9585874999999999,1.1,0.45
857.0,201300504,PT. BUMI SARANA UTAMA,TECHNICAL LEADERS,BRANCH JAYAPURA,BRANCH JAYAPURA,ADMINISTRATION SENIOR SUPERVISOR,0.947,0.8942708333333333,0.03,0.969090625,0.9955555555555555,0.3
858.0,201300508,PT. BUMI SARANA UTAMA,TECHNICAL LEADERS,BRANCH JAYAPURA,BRANCH JAYAPURA,SALES SENIOR SUPERVISOR,0.972,0.8770833333333334,0.01,0.9677625,1.0688888888888888,0.625
859.0,202003852,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,BRANCH JAYAPURA,BRANCH JAYAPURA,ACCOUNTING SENIOR STAFF,0.9,0.8817708333333334,0.01,0.907265625,1.0914285714285716,0.0
860.0,202191479,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,BRANCH JAYAPURA,BRANCH JAYAPURA,CASHIER,0.937,0.953125,0.0,0.93941875,1.0285714285714287,0.0
861.0,201400787,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,BRANCH JAYAPURA,BRANCH JAYAPURA,SALES ADMINISTRATION SENIOR STAFF,0.916,0.9286458333333334,0.01,0.927896875,1.0942857142857145,0.0
862.0,201300507,PT. BUMI SARANA UTAMA,TECHNICAL LEADERS,TAC JAYAPURA,BRANCH JAYAPURA,GENERAL AFFAIR SUPERVISOR,0.937,0.8583333333333334,0.01,0.9352,1.0399999999999998,0.0
863.0,200300202,PT. BUMI SARANA UTAMA,TECHNICAL LEADERS,TAC JAYAPURA,BRANCH JAYAPURA,TAC BULK BITUMEN STORAGE SENIOR SUPERVISOR,0.9486,0.8875,0.01,0.949435,1.048888888888889,0.35
864.0,201300509,PT. BUMI SARANA UTAMA,TECHNICAL LEADERS,TAC JAYAPURA,BRANCH JAYAPURA,TECHNICAL SERVICES SUPERVISOR,0.935,0.6765625000000001,0.02,0.916234375,0.9533333333333334,0.0
865.0,201300606,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC JAYAPURA,BRANCH JAYAPURA,BALANCE & BOILER OPERATOR,0.966,0.9005208333333334,0.01,0.966178125,1.0371428571428574,0.375
866.0,201300607,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC JAYAPURA,BRANCH JAYAPURA,BALANCE & BOILER OPERATOR,0.958,0.8880208333333334,0.01,0.9575031249999999,1.0171428571428571,0.35
867.0,202104085,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC JAYAPURA,BRANCH JAYAPURA,MECHANICAL ELECTRICAL ENGINEER,0.921,0.9776041666666666,0.01,0.939490625,1.0114285714285716,0.0
868.0,201300610,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC JAYAPURA,BRANCH JAYAPURA,MECHANICAL ELECTRICAL ENGINEER,0.922,0.9703125,0.01,0.939246875,1.16,0.0
869.0,201490406,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC JAYAPURA,BRANCH JAYAPURA,TANKER TRUCK DRIVER,1.0,0.8671875000000001,0.0,0.980078125,1.0,0.0
870.0,201390405,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC JAYAPURA,BRANCH JAYAPURA,TANKER TRUCK DRIVER,1.0,0.9020833333333332,0.0,0.9853124999999999,1.0342857142857145,0.0
871.0,201990408,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC JAYAPURA,BRANCH JAYAPURA,TANKER TRUCK DRIVER,1.0,0.8713541666666667,0.0,0.980703125,1.0085714285714287,0.0
872.0,201390404,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC JAYAPURA,BRANCH JAYAPURA,TANKER TRUCK DRIVER,1.0,0.9567708333333332,0.0,0.993515625,1.0657142857142858,0.0
873.0,201890407,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC JAYAPURA,BRANCH JAYAPURA,TANKER TRUCK DRIVER,1.0,0.8750000000000001,0.0,0.98125,0.9942857142857143,0.0
874.0,200600283,PT. BUMI SARANA UTAMA,OPERATIONAL LEADERS,BRANCH KENDARI,BRANCH KENDARI,BRANCH MANAGER,0.931,0.8333333333333335,0.015,0.93135,1.011111111111111,0.4
875.0,200600285,PT. BUMI SARANA UTAMA,TECHNICAL LEADERS,BRANCH KENDARI,BRANCH KENDARI,ADMINISTRATION SENIOR SUPERVISOR,0.9006,0.9046875,0.03,0.931213125,1.0533333333333335,0.625
876.0,200600284,PT. BUMI SARANA UTAMA,TECHNICAL LEADERS,BRANCH KENDARI,BRANCH KENDARI,SALES SENIOR SUPERVISOR,0.929,0.8895833333333334,0.01,0.9330875000000001,1.0066666666666668,0.25
877.0,200600324,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,BRANCH KENDARI,BRANCH KENDARI,ACCOUNTING SENIOR STAFF,0.94,0.9395833333333332,0.01,0.9499374999999999,1.14,0.3
878.0,201100386,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,BRANCH KENDARI,BRANCH KENDARI,CASHIER,0.92,0.8140625,0.01,0.914109375,1.0342857142857145,0.0
879.0,200800333,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,BRANCH KENDARI,BRANCH KENDARI,SALES ADMINISTRATION SENIOR STAFF,0.905,0.8635416666666667,0.01,0.90878125,1.0257142857142858,0.0
880.0,200600287,PT. BUMI SARANA UTAMA,TECHNICAL LEADERS,TAC KESSILAMPE,BRANCH KENDARI,BITUMEN DELIVERY SUPERVISOR,0.939,0.9078125,0.03,0.964321875,1.148888888888889,0.6
881.0,200600286,PT. BUMI SARANA UTAMA,TECHNICAL LEADERS,TAC KESSILAMPE,BRANCH KENDARI,GENERAL AFFAIR SUPERVISOR,0.9361,0.9786458333333332,0.03,0.9724818749999999,1.08,0.275
882.0,199100024,PT. BUMI SARANA UTAMA,TECHNICAL LEADERS,TAC KESSILAMPE,BRANCH KENDARI,TAC BULK BITUMEN STORAGE SENIOR SUPERVISOR,0.943,0.9140625,0.03,0.968659375,1.057777777777778,0.3
883.0,200100167,PT. BUMI SARANA UTAMA,TECHNICAL LEADERS,TAC KESSILAMPE,BRANCH KENDARI,TECHNICAL SERVICES SUPERVISOR,0.945,0.9833333333333334,0.03,0.9807499999999999,1.1666666666666667,0.6
884.0,201903444,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC KESSILAMPE,BRANCH KENDARI,BALANCE & BOILER OPERATOR,0.99,0.975,0.02,1.00775,1.042857142857143,0.6
885.0,200600325,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC KESSILAMPE,BRANCH KENDARI,BALANCE & BOILER OPERATOR,0.99,0.996875,0.03,1.02103125,1.0571428571428572,0.6
886.0,200600288,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC KESSILAMPE,BRANCH KENDARI,CASHIER,0.926,0.9609375,0.01,0.941240625,1.102857142857143,0.25
887.0,201500692,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC KESSILAMPE,BRANCH KENDARI,GENERAL AFFAIR STAFF,0.9,0.7354166666666667,0.0,0.8753125,0.9485714285714285,0.0
888.0,200600326,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC KESSILAMPE,BRANCH KENDARI,MECHANICAL ELECTRICAL ENGINEER,0.956,0.9651041666666668,0.03,0.987365625,1.16,0.25
889.0,200600327,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC KESSILAMPE,BRANCH KENDARI,MECHANICAL ELECTRICAL ENGINEER,0.963,0.98125,0.03,0.9957375,1.1542857142857144,0.25
890.0,200600328,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC KESSILAMPE,BRANCH KENDARI,MECHANICAL ELECTRICAL ENGINEER,0.963,0.9604166666666668,0.03,0.9926125,1.1542857142857144,0.25
891.0,201090323,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC KESSILAMPE,BRANCH KENDARI,TANKER TRUCK DRIVER,0.983,0.8015625000000001,0.0,0.955784375,1.082857142857143,0.0
892.0,201890331,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC KESSILAMPE,BRANCH KENDARI,TANKER TRUCK DRIVER,0.979,0.946875,0.0,0.97418125,1.042857142857143,0.0
893.0,201390326,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC KESSILAMPE,BRANCH KENDARI,TANKER TRUCK DRIVER,0.969,0.946875,0.0,0.96568125,1.0171428571428571,0.0
894.0,201790330,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC KESSILAMPE,BRANCH KENDARI,TANKER TRUCK DRIVER,0.984,0.9953125,0.0,0.9856968749999999,1.1142857142857143,0.0
895.0,200690322,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC KESSILAMPE,BRANCH KENDARI,TANKER TRUCK DRIVER,0.984,0.9661458333333334,0.0,0.9813218749999999,1.0257142857142858,0.0
896.0,201790329,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC KESSILAMPE,BRANCH KENDARI,TANKER TRUCK DRIVER,0.984,0.9885416666666668,0.0,0.98468125,1.042857142857143,0.0
897.0,201390327,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC KESSILAMPE,BRANCH KENDARI,TANKER TRUCK DRIVER,0.983,0.9708333333333332,0.0,0.981175,1.0171428571428571,0.0
898.0,202190332,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC KESSILAMPE,BRANCH KENDARI,TANKER TRUCK DRIVER,0.983,0.9489583333333332,0.0,0.97789375,1.002857142857143,0.0
899.0,201090324,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC KESSILAMPE,BRANCH KENDARI,TANKER TRUCK DRIVER,0.984,0.9958333333333332,0.0,0.985775,1.042857142857143,0.0
900.0,200600329,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC KESSILAMPE,BRANCH KENDARI,TANKER TRUCK DRIVER,0.984,1.0,0.0,0.9863999999999999,1.0942857142857145,0.0
901.0,200690321,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC KESSILAMPE,BRANCH KENDARI,TANKER TRUCK DRIVER,0.983,0.9734375,0.0,0.981565625,1.0685714285714287,0.0
902.0,201390325,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC KESSILAMPE,BRANCH KENDARI,TANKER TRUCK DRIVER,0.981,0.984375,0.0,0.98150625,1.0685714285714287,0.0
903.0,201100398,PT. BUMI SARANA UTAMA,OPERATIONAL LEADERS,BRANCH LOMBOK,BRANCH LOMBOK,BRANCH MANAGER,0.9916,0.9864583333333334,0.015,1.00582875,1.12,1.0
904.0,200100170,PT. BUMI SARANA UTAMA,TECHNICAL LEADERS,BRANCH LOMBOK,BRANCH LOMBOK,ADMINISTRATION SENIOR SUPERVISOR,0.9675,0.875,0.03,0.983625,1.008888888888889,0.575
905.0,201700713,PT. BUMI SARANA UTAMA,TECHNICAL LEADERS,BRANCH LOMBOK,BRANCH LOMBOK,PJS. SALES SENIOR SUPERVISOR,0.991,0.9541666666666668,0.01,0.9954749999999999,1.088888888888889,0.75
906.0,201700712,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,BRANCH LOMBOK,BRANCH LOMBOK,ACCOUNTING SENIOR STAFF,0.92,0.95625,0.01,0.9354375,1.08,0.2
907.0,201700715,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,BRANCH LOMBOK,BRANCH LOMBOK,CASHIER,0.916,0.9520833333333334,0.01,0.9314125,1.0514285714285716,0.25
908.0,201700811,PT. BUMI SARANA UTAMA,TECHNICAL LEADERS,TAC LOMBOK,BRANCH LOMBOK,BITUMEN DELIVERY SUPERVISOR,0.91,0.903125,0.02,0.92896875,1.0257142857142858,0.75
909.0,201700808,PT. BUMI SARANA UTAMA,TECHNICAL LEADERS,TAC LOMBOK,BRANCH LOMBOK,GENERAL AFFAIR SUPERVISOR,0.924,0.7734375,0.02,0.921415625,1.0171428571428571,0.325
910.0,201700812,PT. BUMI SARANA UTAMA,TECHNICAL LEADERS,TAC LOMBOK,BRANCH LOMBOK,TECHNICAL SERVICES SUPERVISOR,0.93,0.984375,0.02,0.95815625,1.0857142857142859,0.25
911.0,201700809,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC LOMBOK,BRANCH LOMBOK,BALANCE & BOILER OPERATOR,0.838,0.9015625,0.02,0.867534375,1.0,0.6
912.0,201700810,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC LOMBOK,BRANCH LOMBOK,BALANCE & BOILER OPERATOR,0.91,0.859375,0.02,0.92240625,1.0085714285714287,0.6
913.0,202191332,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC LOMBOK,BRANCH LOMBOK,CASHIER,0.92,0.8182291666666668,0.0,0.9047343750000001,1.0057142857142858,0.0
914.0,201700813,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC LOMBOK,BRANCH LOMBOK,MECHANICAL ELECTRICAL ENGINEER,0.917,0.9651041666666668,0.02,0.944215625,1.1657142857142857,0.25
915.0,201790424,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC LOMBOK,BRANCH LOMBOK,TANKER TRUCK DRIVER,0.942,0.9015625,0.0,0.935934375,0.9800000000000001,0.0
916.0,201790423,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC LOMBOK,BRANCH LOMBOK,TANKER TRUCK DRIVER,0.924,0.8875,0.0,0.918525,0.9914285714285715,0.0
917.0,201790422,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC LOMBOK,BRANCH LOMBOK,TANKER TRUCK DRIVER,0.946,0.915625,0.0,0.9414437499999999,1.0942857142857145,0.0
918.0,201790426,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC LOMBOK,BRANCH LOMBOK,TANKER TRUCK DRIVER,0.942,0.8557291666666668,0.0,0.929059375,0.9828571428571429,0.0
919.0,201790425,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC LOMBOK,BRANCH LOMBOK,TANKER TRUCK DRIVER,0.865,0.86875,0.0,0.8655625,1.0085714285714287,0.0
920.0,201000340,PT. BUMI SARANA UTAMA,OPERATIONAL LEADERS,BRANCH MAKASSAR,BRANCH MAKASSAR,PJS. BRANCH MANAGER,0.8442,0.984375,0.02,0.88522625,1.157777777777778,1.0
921.0,201300517,PT. BUMI SARANA UTAMA,TECHNICAL LEADERS,BRANCH MAKASSAR,BRANCH MAKASSAR,ADMINISTRATION SENIOR SUPERVISOR,0.8782,0.8994791666666668,0.035,0.9163918750000001,1.037777777777778,0.675
922.0,200300205,PT. BUMI SARANA UTAMA,TECHNICAL LEADERS,BRANCH MAKASSAR,BRANCH MAKASSAR,PJS. SALES SENIOR SUPERVISOR,0.844,0.8973958333333334,0.01,0.862009375,1.008888888888889,1.0
923.0,201200439,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,BRANCH MAKASSAR,BRANCH MAKASSAR,ACCOUNTING SENIOR STAFF,1.0,0.925,0.01,0.99875,1.042857142857143,0.65
924.0,201903481,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,BRANCH MAKASSAR,BRANCH MAKASSAR,CASHIER,0.98,0.9010416666666669,0.01,0.97815625,1.0771428571428574,0.6
925.0,201200425,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,BRANCH MAKASSAR,BRANCH MAKASSAR,GENERAL AFFAIR & PERSONNEL SENIOR STAFF,1.0,0.9078125,0.01,0.9961718749999999,1.04,1.0
926.0,198900009,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,BRANCH MAKASSAR,BRANCH MAKASSAR,SALES ADMINISTRATION SENIOR STAFF,0.964,0.9661458333333334,0.01,0.9743218749999999,1.0771428571428574,0.25
927.0,199300039,PT. BUMI SARANA UTAMA,TECHNICAL LEADERS,TAC BELANG - BELANG,BRANCH MAKASSAR,BITUMEN DELIVERY SUPERVISOR,0.925,0.9864583333333334,0.01,0.94421875,1.017777777777778,0.35
928.0,201200652,PT. BUMI SARANA UTAMA,TECHNICAL LEADERS,TAC BELANG - BELANG,BRANCH MAKASSAR,GENERAL AFFAIR SUPERVISOR,0.964,0.9916666666666668,0.01,0.9781499999999999,1.1711111111111112,0.35
929.0,200000159,PT. BUMI SARANA UTAMA,TECHNICAL LEADERS,TAC BELANG - BELANG,BRANCH MAKASSAR,TAC BULK BITUMEN STORAGE SENIOR SUPERVISOR,0.928,0.934375,0.01,0.93895625,1.08,0.35
930.0,201190289,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC BELANG - BELANG,BRANCH MAKASSAR,BALANCE & BOILER OPERATOR,0.95,1.0,0.0,0.9575,1.0,0.0
931.0,200300221,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC BELANG - BELANG,BRANCH MAKASSAR,BALANCE & BOILER OPERATOR,0.964,0.9989583333333334,0.01,0.97924375,1.0,0.35
932.0,201100435,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC BELANG - BELANG,BRANCH MAKASSAR,BALANCE & BOILER OPERATOR,0.962,0.9661458333333334,0.01,0.972621875,0.9971428571428571,0.35
933.0,202003795,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC BELANG - BELANG,BRANCH MAKASSAR,CASHIER,0.938,0.9791666666666666,0.0,0.9441749999999999,1.0,0.0
934.0,201200651,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC BELANG - BELANG,BRANCH MAKASSAR,GENERAL AFFAIR STAFF,0.9,0.996875,0.0,0.91453125,1.1285714285714286,0.0
935.0,201100436,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC BELANG - BELANG,BRANCH MAKASSAR,MECHANICAL ELECTRICAL ENGINEER,0.928,0.9802083333333332,0.0,0.9358312500000001,1.0,0.0
936.0,201190291,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC BELANG - BELANG,BRANCH MAKASSAR,TANKER TRUCK DRIVER,0.94,0.9604166666666668,0.0,0.9430624999999999,0.9742857142857143,0.0
937.0,201190290,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC BELANG - BELANG,BRANCH MAKASSAR,TANKER TRUCK DRIVER,0.94,0.971875,0.0,0.9447812499999999,1.0,0.0
938.0,201190292,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC BELANG - BELANG,BRANCH MAKASSAR,TANKER TRUCK DRIVER,0.94,0.996875,0.0,0.9485312499999999,1.0142857142857142,0.0
939.0,201290293,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC BELANG - BELANG,BRANCH MAKASSAR,TANKER TRUCK DRIVER,0.94,0.9265625,0.0,0.9379843749999999,1.0,0.0
940.0,201690294,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC BELANG - BELANG,BRANCH MAKASSAR,TANKER TRUCK DRIVER,0.94,0.971875,0.0,0.9447812499999999,0.9800000000000001,0.0
941.0,199100022,PT. BUMI SARANA UTAMA,TECHNICAL LEADERS,TAC PARE - PARE,BRANCH MAKASSAR,BITUMEN DELIVERY SUPERVISOR,0.952,0.9708333333333332,0.01,0.9648249999999999,1.0133333333333334,0.35
942.0,201100377,PT. BUMI SARANA UTAMA,TECHNICAL LEADERS,TAC PARE - PARE,BRANCH MAKASSAR,GENERAL AFFAIR SUPERVISOR,0.897,1.0,0.0,0.91245,1.0133333333333332,0.0
943.0,199000018,PT. BUMI SARANA UTAMA,TECHNICAL LEADERS,TAC PARE - PARE,BRANCH MAKASSAR,TAC BULK BITUMEN STORAGE SENIOR SUPERVISOR,0.952,0.9604166666666668,0.01,0.9632624999999999,1.02,0.35
944.0,199700126,PT. BUMI SARANA UTAMA,TECHNICAL LEADERS,TAC PARE - PARE,BRANCH MAKASSAR,TECHNICAL SERVICES SUPERVISOR,0.944,1.0,0.01,0.9623999999999999,1.011111111111111,0.6
945.0,202003940,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC PARE - PARE,BRANCH MAKASSAR,BALANCE & BOILER OPERATOR,0.94,1.0,0.01,0.959,1.0857142857142859,0.0
946.0,201600796,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC PARE - PARE,BRANCH MAKASSAR,BALANCE & BOILER OPERATOR,0.964,0.996875,0.01,0.9789312499999999,1.082857142857143,0.6
947.0,200800334,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC PARE - PARE,BRANCH MAKASSAR,BALANCE & BOILER OPERATOR,0.9636,1.0,0.01,0.97906,1.0857142857142859,0.0
948.0,201600667,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC PARE - PARE,BRANCH MAKASSAR,CASHIER,0.997,0.9895833333333334,0.01,1.0058874999999998,1.0,0.0
949.0,200000187,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC PARE - PARE,BRANCH MAKASSAR,GENERAL AFFAIR STAFF,0.94,1.0,0.01,0.959,1.0257142857142858,0.0
950.0,201200643,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC PARE - PARE,BRANCH MAKASSAR,MECHANICAL ELECTRICAL ENGINEER,0.94,0.99375,0.0,0.9480624999999999,1.0085714285714287,0.0
951.0,201801039,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC PARE - PARE,BRANCH MAKASSAR,MECHANICAL ELECTRICAL ENGINEER,0.94,0.971875,0.01,0.9547812499999999,1.0,0.0
952.0,201100437,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC PARE - PARE,BRANCH MAKASSAR,MECHANICAL ELECTRICAL ENGINEER,0.94,0.9927083333333332,0.0,0.94790625,1.0057142857142858,0.0
953.0,200700330,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC PARE - PARE,BRANCH MAKASSAR,MECHANICAL ELECTRICAL ENGINEER,0.94,0.9947916666666669,0.0,0.9482187499999999,1.0,0.0
954.0,200190271,PT. BUMI SARANA UTAMA,STAFF/OPERATOR,TAC PARE - PARE,BRANCH MAKASSAR,TANKER TRUCK DRIVER,0.985,0.584375,0.0,0.9249062499999999,1.0,0.0
